BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.5,8808271,9451271.5,0.005652565100590201,-2.1940841808347523e-5,0.009891438218051968
Birmingham,0.5,1123562,1179966,0.003926217773107349,-1.0589285461884856e-5,0.009891438218051968
Leeds,0.5,537067,562444.5,0.0037003983182155916,-9.40665511163138e-6,0.009891438218051968
Sheffield,0.5000000000000001,505453,518200.5,0.0019945605844120446,-2.7339263582007564e-6,0.009891438218051968
Liverpool,0.5,506863,519898.5,0.0020334927559126597,-2.8416729180224096e-6,0.009891438218051968
Manchester,0.49999999999999994,469173,516781,0.007761776960287569,-4.1351797325241656e-5,0.009891438218051968
Bristol,0.5,428579,461672,0.005968106374797456,-2.4457203744967657e-5,0.009891438218051968
Leicester,0.5000000000000001,405806,441333.5,0.006736638761467782,-3.115666328814758e-5,0.009891438218051968
Coventry,0.49999999999999994,347816,364085,0.0036637955540946765,-9.221552400194555e-6,0.009891438218051968
Bradford,0.5000000000000001,333809,359261.5,0.005895837432426335,-2.3868834128495173e-5,0.009891438218051968
Rural areas,NA,17072782,16683143,0.009891438218051968,NA,NA
