BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.2499999999999999,8808271,9129771.25,0.002872074373293279,-5.667668386157938e-6,0.004865949134061649
Birmingham,0.25000000000000006,1123562,1151764,0.001985222699616105,-2.708392832805463e-6,0.004865949134061649
Leeds,0.2499999999999999,537067,549755.75,0.0018698447618523393,-2.4027839498050436e-6,0.004865949134061649
Sheffield,0.24999999999999997,505453,511826.75,0.001002993220222757,-6.914773770648303e-7,0.004865949134061649
Liverpool,0.2500000000000001,506863,513380.75,0.0010226843846203734,-7.188916683362563e-7,0.004865949134061649
Manchester,0.25,469173,492977,0.003967124242981529,-1.0810998280413569e-5,0.004865949134061649
Bristol,0.25000000000000017,428579,445125.5,0.0030350909719789694,-6.329097275998678e-6,0.004865949134061649
Leicester,0.2499999999999999,405806,423569.75,0.0034333193112630273,-8.09824248781812e-6,0.004865949134061649
Coventry,0.25000000000000006,347816,355950.5,0.0018511570338691982,-2.3550049820971635e-6,0.004865949134061649
Bradford,0.25,333809,346535.25,0.002997729988318568,-6.174286019745115e-6,0.004865949134061649
Rural areas,NA,17072782,16822874.5,0.004865949134061649,NA,NA
