BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.1,8808271,8936871.1,0.0011602223521720847,-9.252310962968977e-7,0.0019278355093880564
Birmingham,0.10000000000000003,1123562,1134842.8,7.995309207485923e-4,-4.3941098338092444e-7,0.0019278355093880564
Leeds,0.1,537067,542142.5,7.527654306918091e-4,-3.895147806612025e-7,0.0019278355093880564
Sheffield,0.10000000000000009,505453,508002.5,4.025859710757659e-4,-1.1141753776612109e-7,0.0019278355093880564
Liverpool,0.10000000000000013,506863,509470.1,4.1051750661725894e-4,-1.1585077223755088e-7,0.0019278355093880564
Manchester,0.10000000000000013,469173,478694.6,0.0016085920317322807,-1.7783574431580397e-6,0.0019278355093880564
Bristol,0.10000000000000014,428579,435197.6,0.0012267595118240105,-1.0343811958142645e-6,0.0019278355093880564
Leicester,0.10000000000000016,405806,412911.5,0.001389610326363052,-1.327189972802756e-6,0.0019278355093880564
Coventry,0.1000000000000001,347816,351069.8,7.451943019958783e-4,-3.8171949865917966e-7,0.0019278355093880564
Bradford,0.10000000000000002,333809,338899.5,0.0012115036890757403,-1.0088175048001306e-6,0.0019278355093880564
Rural areas,NA,17072782,16973106,0.0019278355093880564,NA,NA
