BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.10000000000000002,8808271,8936871.2,0.0011602232483785904,-9.252325259041862e-7,0.0014926418130691871
Birmingham,0.10000000000000003,1123562,1134842.8,7.99530920748557e-4,-4.394109835292044e-7,0.0014926418130691871
Leeds,0.1000000000000001,537067,542142.6,7.527801980663762e-4,-3.8953006306807946e-7,0.0014926418130691871
Sheffield,0.10000000000000016,505453,508002.5,4.025859710757482e-4,-1.114175384823443e-7,0.0014926418130691871
Liverpool,0.10000000000000009,506863,509470.1,4.105175066174859e-4,-1.1585077103483698e-7,0.0014926418130691871
Manchester,0.1000000000000001,469173,478694.6,0.0016085920317323442,-1.778357444451752e-6,0.0014926418130691871
Bristol,0.10000000000000007,428579,435197.6,0.0012267595118240222,-1.0343811955789172e-6,0.0014926418130691871
Leicester,0.10000000000000009,405806,412911.5,0.0013896103263631185,-1.3271899723781437e-6,0.0014926418130691871
Coventry,0.10000000000000009,347816,351069.8,7.451943019961067e-4,-3.8171949883839267e-7,0.0014926418130691871
Bradford,0.10000000000000014,333809,338899.5,0.0012115036890754777,-1.008817506726658e-6,0.0014926418130691871
Rural areas,NA,17072782,16931896.799999997,0.0014926418130691871,NA,NA
