BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.22838614197543491,8808271,9101975.80696655,0.0026274733872392237,-4.743641000535097e-6,0.012178286083512761
Birmingham,3.0568280542779878,1123562,1468396.6591469913,0.021644279552051008,-3.2063676246019135e-4,0.012178286083512761
Leeds,1.386284860667503,537067,607427.8881031792,0.009897508448654257,-6.720964830411059e-5,0.012178286083512761
Sheffield,1.1116319674517576,505453,533794.0570101825,0.004373941613171198,-1.3140849506389561e-5,0.012178286083512761
Liverpool,1.480737864345353,506863,545467.3168613476,0.005889446135915659,-2.381714445683549e-5,0.012178286083512761
Manchester,1.7261104520543697,469173,633526.3328028088,0.024317359159739822,-4.045025960183303e-4,0.012178286083512761
Bristol,0,428579,428579,0,5.141520781514632e-16,0.012178286083512761
Leicester,0.8682183497740706,405806,467497.2548431966,0.011385791388684034,-8.891448301055257e-5,0.012178286083512761
Coventry,2.7864809021124772,347816,438482.5155929358,0.01870448439338015,-2.3959696815682152e-4,0.012178286083512761
Bradford,0.3498337852999173,333809,351617.2888406923,0.004166605334464295,-1.1925069558355522e-5,0.012178286083512761
Rural areas,NA,17072782,16755433.879832119,0.012178286083512761,NA,NA
