BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,1.4880704674365572,8808271,10721932.597264348,0.007895012644605938,-1.0162160092782364e-4,0.026970819606057024
Birmingham,7.216941676675819,1123562,1937690.7566624456,0.022039067395790465,-7.965538096710693e-4,0.026970819606057024
Leeds,3.8333159606936316,537067,731630.784900966,0.012442902303727889,-2.528973555497014e-4,0.026970819606057024
Sheffield,3.2770254215872527,505453,589000.763123367,0.006137655586464912,-6.137168492885714e-5,0.026970819606057024
Liverpool,4.024634535582988,506863,611789.2469771841,0.007554274859747528,-9.302601506848306e-5,0.026970819606057024
Manchester,4.521626820019074,469173,899704.2192949362,0.02638588240570485,-0.001143807650153493,0.026970819606057024
Bristol,0.536560532384931,428579,464091.795396429,0.0031893665395245616,-1.6551566352006726e-5,0.026970819606057024
Leicester,2.784000951975567,405806,603623.1876426239,0.016009802412648103,-4.1929108880152247e-4,0.026970819606057024
Coventry,6.669364418759541,347816,564823.779457598,0.019582884951418727,-6.282612323385889e-4,0.026970819606057024
Bradford,1.7340338995798517,333809,422079.99565811234,0.009429212984587957,-1.4504681157926128e-4,0.026970819606057024
Rural areas,NA,17072782,14726264.873621993,0.026970819606057024,NA,NA
