BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.24999999999999997,8808271,9129771.5,0.002872076570220462,-5.667677054626652e-6,0.003756180759607734
Birmingham,0.25,1123562,1151764,0.0019852226996160253,-2.708392833223452e-6,0.003756180759607734
Leeds,0.25000000000000006,537067,549756,0.0018698812096615486,-2.4028776049220093e-6,0.003756180759607734
Sheffield,0.25000000000000006,505453,511826.75,0.0010029932202228206,-6.914773775484025e-7,0.003756180759607734
Liverpool,0.25,506863,513380.75,0.0010226843846205024,-7.188916679223647e-7,0.003756180759607734
Manchester,0.24999999999999997,469173,492977,0.003967124242981513,-1.0810998282116898e-5,0.003756180759607734
Bristol,0.25,428579,445125.5,0.003035090971978999,-6.329097275676346e-6,0.003756180759607734
Leicester,0.2500000000000001,405806,423569.75,0.003433319311262993,-8.098242487955194e-6,0.003756180759607734
Coventry,0.24999999999999997,347816,355950.5,0.001851157033869436,-2.355004982331013e-6,0.003756180759607734
Bradford,0.25000000000000006,333809,346535.25,0.002997729988318444,-6.174286020802607e-6,0.003756180759607734
Rural areas,NA,17072782,16720858,0.003756180759607734,NA,NA
