BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.0500000000000001,8808271,8872571.05,5.820450797241885e-4,-2.328805908731095e-7,9.608751965530239e-4
Birmingham,0.05000000000000002,1123562,1129202.4,4.006840109717098e-4,-1.1036731548873239e-7,9.608751965530239e-4
Leeds,0.0500000000000001,537067,539604.75,3.7719697372260786e-4,-9.780813490138376e-8,9.608751965530239e-4
Sheffield,0.050000000000000135,505453,506727.75,2.0152592189554946e-4,-2.792005695607967e-8,9.608751965530239e-4
Liverpool,0.050000000000000065,506863,508166.55,2.0550095748754466e-4,-2.903232525236634e-8,9.608751965530239e-4
Manchester,0.05000000000000001,469173,473933.8,8.080125966454354e-4,-4.487824601078893e-7,9.608751965530239e-4
Bristol,0.05000000000000007,428579,431888.3,6.155417593315811e-4,-2.60454618758814e-7,9.608751965530239e-4
Leicester,0.05000000000000008,405806,409358.75,6.975790394935638e-4,-3.34500249378843e-7,9.608751965530239e-4
Coventry,0.049999999999999975,347816,349442.9,3.733951156001934e-4,-9.584648380859392e-8,9.608751965530239e-4
Bradford,0.049999999999999954,333809,336354.25,6.078604260815917e-4,-2.539951673089417e-7,9.608751965530239e-4
Rural areas,NA,17072782,17002134.5,9.608751965530239e-4,NA,NA
