BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.22838614197543491,8808271,9101975.80696655,0.0019699585339038473,-3.5569528069945608e-6,0.01217828608351276
Birmingham,3.0568280542779878,1123562,1468396.6591469913,0.016189681478500556,-2.4004855129008195e-4,0.01217828608351276
Leeds,1.386284860667503,537067,607427.8881031792,0.007413985187537023,-5.03658694354892e-5,0.01217828608351276
Sheffield,1.1116319674517576,505453,533794.0570101825,0.0032786659050975885,-9.852052795941504e-6,0.01217828608351276
Liverpool,1.480737864345353,506863,545467.3168613476,0.004413840782514195,-1.7854117735239386e-5,0.01217828608351276
Manchester,1.7261104520543697,469173,633526.3328028088,0.018183135953723353,-3.0276968358792876e-4,0.01217828608351276
Bristol,0,428579,428579,0,8.097895230885544e-16,0.01217828608351276
Leicester,0.8682183497740706,405806,467497.2548431966,0.00852724743363083,-6.662295469539856e-5,0.01217828608351276
Coventry,2.7864809021124772,347816,438482.5155929358,0.013995817096482401,-1.7942027248658434e-4,0.01217828608351276
Bradford,0.3498337852999173,333809,351617.2888406923,0.003123329263569402,-8.940703315317997e-6,0.01217828608351276
Rural areas,NA,17072782,16755433.879832119,0.01217828608351276,NA,NA
