BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.3,8808271,9194071.3,0.0034353020495663917,-8.107595298418184e-6,0.005857978188238284
Birmingham,0.30000000000000016,1123562,1157404.4,0.0023768936204918434,-3.882194501548899e-6,0.005857978188238284
Leeds,0.3,537067,552293.5,0.0022390432355282592,-3.4450475042789635e-6,0.005857978188238284
Sheffield,0.3000000000000001,505453,513101.5,0.001202212035240401,-9.93404472138206e-7,0.005857978188238284
Liverpool,0.3,506863,514684.3,0.0012257868933207455,-1.032741868160142e-6,0.005857978188238284
Manchester,0.30000000000000016,469173,497737.8,0.004739344292219639,-1.542698393811041e-5,0.005857978188238284
Bristol,0.3,428579,448434.8,0.0036296281932001514,-9.050424290430782e-6,0.005857978188238284
Leicester,0.3,405806,427122.5,0.004104050198066892,-1.1569834961439097e-5,0.005857978188238284
Coventry,0.30000000000000004,347816,357577.4,0.0022167123127074875,-3.376688042534789e-6,0.005857978188238284
Bradford,0.30000000000000004,333809,349080.5,0.0035850976652243133,-8.829795860268866e-6,0.005857978188238284
Rural areas,NA,17072782,16752104,0.005857978188238284,NA,NA
