BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,1.4880704674365572,8808271,10721932.597264348,0.011865862510244147,-1.053911063793928e-4,0.022424712605036888
Birmingham,7.216941676675819,1123562,1937690.7566624456,0.03324008269571672,-8.241427318964815e-4,0.022424712605036888
Leeds,3.8333159606936316,537067,731630.784900966,0.018722293290437703,-2.6207857834509535e-4,0.022424712605036888
Sheffield,3.2770254215872527,505453,589000.763123367,0.0092205955182363,-6.366688238937844e-5,0.022424712605036888
Liverpool,4.024634535582988,506863,611789.2469771841,0.011352785572638248,-9.648217794676629e-5,0.022424712605036888
Manchester,4.521626820019074,469173,899704.2192949362,0.039838767227729444,-0.0011825576590678798,0.022424712605036888
Bristol,0.536560532384931,428579,464091.795396429,0.004787862306152871,-1.7179024274726207e-5,0.022424712605036888
Leicester,2.784000951975567,405806,603623.1876426239,0.024110566340708354,-4.3425321668568925e-4,0.022424712605036888
Coventry,6.669364418759541,347816,564823.779457598,0.029517669994927644,-6.502898835167299e-4,0.022424712605036888
Bradford,1.7340338995798517,333809,422079.99565811234,0.014177108535860732,-1.5038850228123171e-4,0.022424712605036888
Rural areas,NA,17072782,15093739.873621993,0.022424712605036888,NA,NA
